|Latin Name|Greek name|English Name
|Cuculidae||
234|Clamator glandarius               |Κισσόκουκος                 |Great Spotted Cuckoo
235|Cuculus canorus                   |(Ευρωπαϊκός) Κούκος                     |Common Cuckoo
|STRIGIFORMES||
|Tytonidae||
236|Tyto alba                         |Τυτώ                |Barn Owl
|Strigidae||
237|Otus scops                        |(Ευρωπαϊκός) Γκιώνης                     |European Scops Owl
238|Bubo bubo                         |(Κοινός) Μπούφος                     |Eurasian Eagle Owl
239|Glaucidium passerinum             |Σπουργιτόγλαυκα             |Eurasian Pygmy Owl
240|Athene noctua                     |(Ευρωπαϊκή) Κουκουβάγια                 |Little Owl
241|Strix aluco                       |(Κοινός) Χουχουριστής                |Tawny Owl
242|Asio otus                         |Νανόμπουφος                 |Long-eared Owl
243|Asio flammeus                     |Βαλτόμπουφος               |Short-eared Owl
244|Aegolius funereus                 |Αιγωλιός                |Tengmalm's Owl
|CAPRIMULGIFORMES||
|Caprimulgidae||
245|Caprimulgus europaeus             |(Ευρωπαϊκό) Γιδοβύζι                   |European Nightjar
|APODIFORMES||
|Apodidae||
246|Apus melba                        |Βουνοσταχτάρα               |Alpine Swift
247|Apus apus                         |(Κοινή) Σταχτάρα               |Common Swift
248|Apus pallidus                     |Ωχροσταχτάρα                |Pallid Swift
249|Apus affinis                      |Μικροσταχτάρα                |Little Swift
|CORACIIFORMES||
|Alcedinidae||
250|Halcyon smyrnensis                |Σμυρναλκυόνη               |White-throated Kingfisher
251|Alcedo atthis                     |(Ευρωπαϊκή) Αλκυόνη                    |Common Kingfisher
252|Ceryle rudis                      |Κήρυλος                     |Pied Kingfisher
|Meropidae||
253|Merops orientalis|Νανομελισσοφάγος|Green Bee-eater
254|Merops persicus              |Πράσινος Μελισσοφάγος            |Blue-cheeked Bee-eater
255|Merops apiaster                   |(Ευρωπαϊκός) Μελισσοφάγος               |European Bee-eater
|Coraciidae||
256|Coracias garrulus                 |(Ευρωπαϊκή) Χαλκοκουρούνα             |European Roller
|Upupidae||
257|Upupa epops                       |Τσαλαπετεινός               |Eurasian Hoopoe
|PICIFORMES||
|Picidae||
258|Jynx torquilla                    |Στραβολαίμης                |Eurasian Wryneck
259|Picus canus                       |Σταχτής Δρυοκολάπτης           |Grey-headed Woodpecker
260|Picus viridis                     |Πράσινος Δρυοκολάπτης                |European Green Woodpecker
261|Dryocopus martius                 |Μαύρος Δρυοκολάπτης             |Black Woodpecker
262|Dendrocopos major                 |Πευκοδρυοκολάπτης          |Great Spotted Woodpecker
263|Dendrocopos syriacus              |Βαλκανικός Δρυοκολάπτης           |Syrian Woodpecker
264|Dendrocopos medius                |Μεσαίος Δρυοκολάπτης              |Middle Spotted Woodpecker
265|Dendrocopos leucotos              |Λευκονώτης Δρυοκολάπτης              |White-backed Woodpecker
266|Dendrocopos minor                 |Νανοδρυοκολάπτης              |Lesser Spotted Woodpecker
267|Picoides tridactylus              |Τριδάχτυλος Δρυοκολάπτης    |Three-toed Woodpecker
|PASSERIFORMES||
|Alaudidae||
268|Chersophilus duponti              |Χερσόφιλος                  |Dupont's Lark
269|Melanocorypha calandra            |(Κοινή) Γαλιάντρα                   |Calandra Lark
270|Melanocorypha bimaculata          |Στεπογαλιάντρα             |Bimaculated Lark
271|Melanocorypha leucoptera          |Λευκόφτερη Γαλιάντρα        |White-winged Lark
272|Melanocorypha yeltoniensis        |Μαυρογαλιάντρα             |Black Lark
273|Calandrella brachydactyla         |(Ευρωπαϊκή) Μικρογαλιάντρα              |Greater Short-toed Lark
274|Calandrella rufescens|Μικρογαλιάντρα της Ερήμου               |Lesser Short-toed Lark
275|Galerida cristata                 |Κατσουλιέρης               |Crested Lark
276|Lullula arborea                   |Δεντροσταρήθρα              |Wood Lark
277|Alauda arvensis                   |(Κοινή) Σιταρήθρα                   |Eurasian Sky Lark
278|Eremophila alpestris              |Χιονάδα                     |Horned Lark
|Hirundinidae||
279|Riparia riparia                   |Οχθοχελίδονο               |Sand Martin
280|Ptyonoprogne rupestris            |(Ευρωπαϊκό) Βραχοχελίδονο               |Eurasian Crag Martin
281|Hirundo rustica                   |Σταυλοχελίδονο              |Barn Swallow
282|Hirundo daurica                   |Μιλτοχελίδονο              |Red-rumped Swallow
283|Delichon urbicum                   |Λευκοχελίδονο               |Common House Martin
|Motacillidae||
284|Anthus richardi                   |Διπλοκελάδα             |Richard's Pipit
285|Anthus campestris                 |Ωχροκελάδα                 |Tawny Pipit
286|Anthus trivialis                  |Δεντροκελάδα              |Tree Pipit
287|Anthus pratensis                  |Λιβαδοκελάδα               |Meadow Pipit
288|Anthus cervinus                   |Κοκκινοκελάδα              |Red-throated Pipit
289|Anthus spinoletta                 |(Ευρωπαϊκή) Νεροκελάδα                 |Water Pipit
290|Anthus petrosus|Θαλασσοκελάδα                  |Rock Pipit
291|Motacilla flava                   |Κιτρινοσουσουράδα           |Yellow Wagtail
292|Motacilla citreola                |Κιτροσουσουράδα             |Citine Wagtail
293|Motacilla cinerea                 |Σταχτοσουσουράδα            |Grey Wagtail
294|Motacilla alba                    |Λευκοσουσουράδα            |White Wagtail
|Bombycillidae||
295|Bombycilla garrulus               |(Ευρωπαϊκή) Βομβυκίλα                  |Bohemian Waxwing
|Cinclidae||
296|Cinclus cinclus                   |(Ευρωπαϊκός) Νεροκότσυφας                |White-throated Dipper
|Troglodytidae||
297|Troglodytes troglodytes           |(Ευρωπαϊκός) Τρυποφράχτης               |Winter Wren
|Prunellidae||
298|Prunella modularis                |(Κοινός) Θαμνοψάλτης                 |Dunnock
299|Prunella collaris                 |Χιονοψάλτης                 |Alpine Accentor
|Turdidae||
300|Cercotrichas galactotes           |Κουφαηδόνι                  |Rufous-tailed Scrub Robin
301|Erithacus rubecula                |Κοκκινολαίμης               |European Robin
302|Luscinia luscinia                 |Τσιχλαηδόνι                 |Thrush Nightingale
303|Luscinia megarhynchos             |(Κοινό) Αηδόνι                      |Common Nightingale
